movie_year,title,count,movie_rank
1902,"Trip to the Moon, A (Voyage dans la lune, Le) (1902)",723,1
1915,"Birth of a Nation, The (1915)",420,1
1920,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",1732,1
1921,"Kid, The (1921)",1367,1
1922,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3968,1
1923,Safety Last! (1923),452,1
1924,Sherlock Jr. (1924),595,1
1925,"Gold Rush, The (1925)",2358,1
1925,Battleship Potemkin (1925),1975,2
1925,Ben-Hur: A Tale of the Christ (1925),684,3
1926,"General, The (1926)",2477,1
1927,Metropolis (1927),6054,1
1927,Sunrise: A Song of Two Humans (1927),631,2
1928,Steamboat Willie (1928),1282,1
1928,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",1017,2
1928,"Circus, The (1928)",461,3
1929,"Andalusian Dog, An (Chien andalou, Un) (1929)",1111,1
1929,"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",637,2
1930,All Quiet on the Western Front (1930),2537,1
1930,"Blue Angel, The (Blaue Engel, Der) (1930)",1005,2
1930,Animal Crackers (1930),976,3
1931,M (1931),4636,1
1931,Frankenstein (1931),3508,2
1931,City Lights (1931),3170,3
1932,"Mummy, The (1932)",1646,1
1932,Freaks (1932),1432,2
1932,Horse Feathers (1932),913,3
1933,King Kong (1933),6358,1
1933,Duck Soup (1933),5556,2
1933,"Invisible Man, The (1933)",1468,3
1934,It Happened One Night (1934),4313,1
1934,"Thin Man, The (1934)",3318,2
1934,"Man Who Knew Too Much, The (1934)",1257,3
1935,"39 Steps, The (1935)",3630,1
1935,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",2265,2
1935,Top Hat (1935),2029,3
1936,Modern Times (1936),4872,1
1936,My Man Godfrey (1936),1794,2
1936,Sabotage (1936),556,3
1937,Snow White and the Seven Dwarfs (1937),17940,1
1937,Grand Illusion (La grande illusion) (1937),1653,2
1937,Shall We Dance (1937),1318,3
1938,Bringing Up Baby (1938),4452,1
1938,"Adventures of Robin Hood, The (1938)",3714,2
1938,"Lady Vanishes, The (1938)",2263,3
1939,"Wizard of Oz, The (1939)",24658,1
1939,Gone with the Wind (1939),14668,2
1939,Mr. Smith Goes to Washington (1939),5714,3
1940,Pinocchio (1940),12742,1
1940,Fantasia (1940),12290,2
1940,"Philadelphia Story, The (1940)",6499,3
1941,Citizen Kane (1941),19091,1
1941,"Maltese Falcon, The (1941)",12257,2
1941,Dumbo (1941),9088,3
1942,Casablanca (1942),26890,1
1942,Bambi (1942),7956,2
1942,Holiday Inn (1942),1668,3
1943,Shadow of a Doubt (1943),2331,1
1943,For Whom the Bell Tolls (1943),808,2
1943,Phantom of the Opera (1943),522,3
1944,Arsenic and Old Lace (1944),6729,1
1944,Double Indemnity (1944),5404,2
1944,Laura (1944),2782,3
1945,Spellbound (1945),2287,1
1945,"Lost Weekend, The (1945)",1142,2
1945,Mildred Pierce (1945),1113,3
1946,It's a Wonderful Life (1946),15384,1
1946,"Big Sleep, The (1946)",5720,2
1946,Notorious (1946),5062,3
1947,Miracle on 34th Street (1947),4691,1
1947,"Ghost and Mrs. Muir, The (1947)",1616,2
1947,Out of the Past (1947),1208,3
1948,"Treasure of the Sierra Madre, The (1948)",5360,1
1948,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),3885,2
1948,Rope (1948),3440,3
1949,"Third Man, The (1949)",7194,1
1949,Adam's Rib (1949),1019,2
1949,Kind Hearts and Coronets (1949),978,3
1950,Cinderella (1950),9603,1
1950,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),7368,2
1950,All About Eve (1950),5068,3
1951,"African Queen, The (1951)",10279,1
1951,Alice in Wonderland (1951),8408,2
1951,"Streetcar Named Desire, A (1951)",6223,3
1952,Singin' in the Rain (1952),10895,1
1952,High Noon (1952),5045,2
1952,"Quiet Man, The (1952)",2161,3
1953,Peter Pan (1953),7628,1
1953,Roman Holiday (1953),6420,2
1953,"War of the Worlds, The (1953)",4607,3
1954,Rear Window (1954),20162,1
1954,Seven Samurai (Shichinin no samurai) (1954),13367,2
1954,Dial M for Murder (1954),5999,3
1955,Lady and the Tramp (1955),10628,1
1955,Rebel Without a Cause (1955),5806,2
1955,To Catch a Thief (1955),4827,3
1956,Invasion of the Body Snatchers (1956),4599,1
1956,Forbidden Planet (1956),3748,2
1956,"King and I, The (1956)",3688,3
1957,12 Angry Men (1957),16569,1
1957,"Bridge on the River Kwai, The (1957)",12634,2
1957,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",5063,3
1958,Vertigo (1958),15945,1
1958,Touch of Evil (1958),4823,2
1958,"Fly, The (1958)",3349,3
1959,North by Northwest (1959),16850,1
1959,Some Like It Hot (1959),11549,2
1959,Ben-Hur (1959),8891,3
1960,Psycho (1960),22146,1
1960,"Apartment, The (1960)",5621,2
1960,Spartacus (1960),5170,3
1961,Breakfast at Tiffany's (1961),10145,1
1961,West Side Story (1961),8547,2
1961,101 Dalmatians (One Hundred and One Dalmatians) (1961),8409,3
1962,To Kill a Mockingbird (1962),15986,1
1962,Lawrence of Arabia (1962),13173,2
1962,"Manchurian Candidate, The (1962)",8851,3
1963,"Birds, The (1963)",11707,1
1963,"Great Escape, The (1963)",11265,2
1963,From Russia with Love (1963),7352,3
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),26714,1
1964,Mary Poppins (1964),15121,2
1964,Goldfinger (1964),12099,3
1965,"Sound of Music, The (1965)",15248,1
1965,For a Few Dollars More (Per qualche dollaro in più) (1965),5597,2
1965,Doctor Zhivago (1965),5574,3
1966,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",18162,1
1966,Who's Afraid of Virginia Woolf? (1966),3135,2
1966,"Man for All Seasons, A (1966)",2064,3
1967,"Graduate, The (1967)",18724,1
1967,Cool Hand Luke (1967),11533,2
1967,"Jungle Book, The (1967)",10052,3
1968,2001: A Space Odyssey (1968),28820,1
1968,Planet of the Apes (1968),13132,2
1968,Rosemary's Baby (1968),8552,3
1969,Butch Cassidy and the Sundance Kid (1969),15265,1
1969,Midnight Cowboy (1969),6394,2
1969,Easy Rider (1969),5490,3
1970,M*A*S*H (a.k.a. MASH) (1970),11933,1
1970,"Aristocats, The (1970)",8197,2
1970,Patton (1970),7930,3
1971,"Clockwork Orange, A (1971)",29856,1
1971,Willy Wonka & the Chocolate Factory (1971),28079,2
1971,"French Connection, The (1971)",8571,3
1972,"Godfather, The (1972)",52498,1
1972,Deliverance (1972),8247,2
1972,"Poseidon Adventure, The (1972)",4790,3
1973,"Sting, The (1973)",15675,1
1973,"Exorcist, The (1973)",15002,2
1973,American Graffiti (1973),7286,3
1974,"Godfather: Part II, The (1974)",34188,1
1974,Chinatown (1974),16929,2
1974,Young Frankenstein (1974),15594,3
1975,Monty Python and the Holy Grail (1975),37723,1
1975,One Flew Over the Cuckoo's Nest (1975),36058,2
1975,Jaws (1975),24188,3
1976,Taxi Driver (1976),29133,1
1976,Rocky (1976),16918,2
1976,Carrie (1976),9196,3
1977,Star Wars: Episode IV - A New Hope (1977),68717,1
1977,Annie Hall (1977),16371,2
1977,Close Encounters of the Third Kind (1977),14984,3
1978,Grease (1978),16206,1
1978,Superman (1978),14746,2
1978,Animal House (1978),11517,3
1979,Alien (1979),36357,1
1979,Apocalypse Now (1979),26370,2
1979,Monty Python's Life of Brian (1979),22484,3
1980,Star Wars: Episode V - The Empire Strikes Back (1980),57361,1
1980,"Shining, The (1980)",29931,2
1980,Airplane! (1980),20475,3
1981,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),54675,1
1981,"Boot, Das (Boat, The) (1981)",13573,2
1981,"Road Warrior, The (Mad Max 2) (1981)",9732,3
1982,Blade Runner (1982),36702,1
1982,E.T. the Extra-Terrestrial (1982),34602,2
1982,Star Trek II: The Wrath of Khan (1982),15787,3
1983,Star Wars: Episode VI - Return of the Jedi (1983),54917,1
1983,Scarface (1983),14900,2
1983,"Christmas Story, A (1983)",12980,3
1984,"Terminator, The (1984)",38612,1
1984,Ghostbusters (a.k.a. Ghost Busters) (1984),32118,2
1984,Indiana Jones and the Temple of Doom (1984),24306,3
1985,Back to the Future (1985),49595,1
1985,"Breakfast Club, The (1985)",24077,2
1985,Brazil (1985),15455,3
1986,Aliens (1986),31684,1
1986,Ferris Bueller's Day Off (1986),27099,2
1986,Stand by Me (1986),22694,3
1987,"Princess Bride, The (1987)",37863,1
1987,Full Metal Jacket (1987),25946,2
1987,Lethal Weapon (1987),18949,3
1988,Die Hard (1988),36716,1
1988,Rain Man (1988),27813,2
1988,Who Framed Roger Rabbit? (1988),21899,3
1989,Batman (1989),44110,1
1989,Indiana Jones and the Last Crusade (1989),37908,2
1989,Dead Poets Society (1989),24954,3
1990,Dances with Wolves (1990),41615,1
1990,Pretty Woman (1990),34234,2
1990,Goodfellas (1990),32663,3
1991,"Silence of the Lambs, The (1991)",74127,1
1991,Terminator 2: Judgment Day (1991),57379,2
1991,Beauty and the Beast (1991),35723,3
1992,Aladdin (1992),43387,1
1992,Reservoir Dogs (1992),34634,2
1992,"Few Good Men, A (1992)",16381,3
1993,Jurassic Park (1993),64144,1
1993,Schindler's List (1993),60411,2
1993,"Fugitive, The (1993)",49638,3
1994,Forrest Gump (1994),81491,1
1994,"Shawshank Redemption, The (1994)",81482,2
1994,Pulp Fiction (1994),79672,3
1995,Braveheart (1995),59184,1
1995,Toy Story (1995),57309,2
1995,"Usual Suspects, The (1995)",55366,3
1996,Independence Day (a.k.a. ID4) (1996),48902,1
1996,Fargo (1996),47823,2
1996,Mission: Impossible (1996),37035,3
1997,Men in Black (a.k.a. MIB) (1997),40308,1
1997,Good Will Hunting (1997),38947,2
1997,Titanic (1997),37712,3
1998,Saving Private Ryan (1998),46783,1
1998,"Truman Show, The (1998)",33731,2
1998,American History X (1998),31157,3
1999,"Matrix, The (1999)",72674,1
1999,Fight Club (1999),58773,2
1999,American Beauty (1999),53689,3
2000,Gladiator (2000),44656,1
2000,Memento (2000),41195,2
2000,X-Men (2000),32584,3
2001,"Lord of the Rings: The Fellowship of the Ring, The (2001)",55736,1
2001,Shrek (2001),42303,2
2001,"Monsters, Inc. (2001)",34572,3
2002,"Lord of the Rings: The Two Towers, The (2002)",51138,1
2002,Minority Report (2002),30195,2
2002,Spider-Man (2002),30010,3
2003,"Lord of the Rings: The Return of the King, The (2003)",50797,1
2003,Pirates of the Caribbean: The Curse of the Black Pearl (2003),37227,2
2003,Finding Nemo (2003),34712,3
2004,Eternal Sunshine of the Spotless Mind (2004),33225,1
2004,"Incredibles, The (2004)",30562,2
2004,Kill Bill: Vol. 2 (2004),28502,3
2005,Batman Begins (2005),30684,1
2005,Sin City (2005),22271,2
2005,Harry Potter and the Goblet of Fire (2005),18848,3
2006,V for Vendetta (2006),25990,1
2006,"Departed, The (2006)",25343,2
2006,"Prestige, The (2006)",22943,3
2007,"Bourne Ultimatum, The (2007)",20474,1
2007,Ratatouille (2007),19157,2
2007,300 (2007),18769,3
2008,"Dark Knight, The (2008)",41519,1
2008,WALL·E (2008),27374,2
2008,Iron Man (2008),25671,3
2009,Up (2009),25127,1
2009,Avatar (2009),24548,2
2009,Inglourious Basterds (2009),23077,3
2010,Inception (2010),38895,1
2010,Shutter Island (2010),18886,2
2010,"King's Speech, The (2010)",14610,3
2011,Harry Potter and the Deathly Hallows: Part 2 (2011),13455,1
2011,Intouchables (2011),12745,2
2011,X-Men: First Class (2011),11011,3
2012,Django Unchained (2012),20687,1
2012,"Dark Knight Rises, The (2012)",19912,2
2012,"Avengers, The (2012)",17572,3
2013,"Wolf of Wall Street, The (2013)",15732,1
2013,Gravity (2013),12264,2
2013,Her (2013),10428,3
2014,Interstellar (2014),22634,1
2014,Guardians of the Galaxy (2014),16324,2
2014,The Imitation Game (2014),15520,3
2015,The Martian (2015),16489,1
2015,Inside Out (2015),13580,2
2015,Mad Max: Fury Road (2015),13479,3
2016,Deadpool (2016),13900,1
2016,Arrival (2016),10087,2
2016,Zootopia (2016),8688,3
2017,Logan (2017),6739,1
2017,Guardians of the Galaxy 2 (2017),6622,2
2017,Thor: Ragnarok (2017),5705,3
2018,Avengers: Infinity War - Part I (2018),6031,1
2018,Deadpool 2 (2018),4249,2
2018,Spider-Man: Into the Spider-Verse (2018),3085,3
2019,Avengers: Infinity War - Part II (2019),2872,1
2019,Spider-Man: Far from Home (2019),1134,2
2019,Once Upon a Time in Hollywood (2019),895,3
